conf.booktitle,array_1[..3],array_2[..3]
SIGMOD Conference,"[Access Path Selection in a Relational Database Management System.,R-Trees: A Dynamic Index Structure for Spatial Searching.,Implementation Techniques for Main Memory Database Systems.]","[100,51,45]"
Advanced Course: Operating Systems,"[Notes on Data Base Operating Systems.,Reliable Computing Systems.,Synchronization in a Layered System.]","[85,2,1]"
POPL,"[The Universality of Data Retrieval Languages.,Constraint Logic Programming.,The Logic of a Relational Data Manipulation Language.]","[36,10,5]"
VLDB,"[Benchmarking Database Systems A Systematic Approach.,A Sophisticate's Introduction to Database Normalization Theory.,Deriving Production Rules for Constraint Maintainance.]","[35,31,29]"
SOSP,"[Weighted Voting for Replicated Data.,Consistency and Recovery Control for Replicated Files.,Designing File Systems for Digital Video and Audio.]","[35,8,5]"
IFIP Congress,"[Dependency Structures of Data Base Relationships.,A Deadlock-Free Scheme for Resource Locking in a Data-Base Environment.,Performance of the System R Access Path Selection Mechanism.]","[33,9,6]"
OOPSLA,"[Development of an Object-Oriented DBMS.,Object Identity.,Integrating an Object-Oriented Programming System with a Database System.]","[30,26,13]"
PODS,"[Magic Sets and Other Strange Ways to Implement Logic Programs.,Remarks on the Algebra of Non First Normal Form Relations.,On the Power of Magic.]","[30,21,20]"
ACM Pacific,"[Recent Investigations in Relational Data Base Systems.,Efficient Evaluation of Expressions in a Relational Algebra.,CUPID - The Friendly Query Language.]","[26,10,7]"
ICDE,"[Data Cube: A Relational Aggregation Operator Generalizing Group-By, Cross-Tab, and Sub-Total.,The Historical Relational Data Model (HRDM) and Algebra Based on Lifespans.,Alpha: An Extension of Relational Algebra to Express a Class of Recursive Queries.]","[19,18,15]"
DDB,"[An Overview of MULTIBASE.,An Introduction to Distributed Query Compilation in R*.,SIRIUS System for Distributed Data Management.]","[19,7,6]"
Berkeley Workshop,"[Retrieving Dispersed Data from SDD-1: A System for Distributed Databases.,A Distributed Database Version of INGRES.,A Straw Man Analysis of the Probability of Waiting and Deadlock in a Database System.]","[17,13,10]"
On Conceptual Modelling (Intervale),"[Towards a Logical Reconstruction of Relational Database Theory.,On the Development of Data Models.,On the Design and Specification of Database Transactions.]","[17,7,6]"
